気体名,化学式,気体名＋化学式,分子量,可燃性,自燃性,支燃性,毒性,腐食性
酸素,O₂,酸素 (O₂),32.00,0,0,1,0,0
窒素,N₂,窒素 (N₂),28.01,0,0,0,0,0
アルゴン,Ar,アルゴン (Ar),39.95,0,0,0,0,0
ヘリウム,He,ヘリウム (He),4.00,0,0,0,0,0
ネオン,Ne,ネオン (Ne),20.18,0,0,0,0,0
クリプトン,Kr,クリプトン (Kr),83.80,0,0,0,0,0
キセノン,Xe,キセノン (Xe),131.30,0,0,0,0,0
空気,Air,空気 (Air),28.97,0,0,1,0,0
水素,H₂,水素 (H₂),2.02,1,0,0,0,0
二酸化炭素,CO₂,二酸化炭素 (CO₂),44.01,0,0,0,0,0
オゾン,O₃,オゾン (O₃),48.00,0,0,1,0,1
塩素,Cl₂,塩素 (Cl₂),70.91,0,0,1,1,1
一酸化炭素,CO,一酸化炭素 (CO),28.01,1,0,0,1,0
一酸化窒素,NO,一酸化窒素 (NO),30.01,0,0,1,0,0
亜酸化窒素,N₂O,亜酸化窒素 (N₂O),44.01,0,0,1,0,0
二酸化窒素,NO₂(N₂O₄),二酸化窒素 (NO₂(N₂O₄)),46.01,0,0,1,0,1
塩化水素,HCl,塩化水素 (HCl),36.46,0,0,0,1,1
硫化水素,H₂S,硫化水素 (H₂S),34.08,1,0,0,1,1
二酸化硫黄,SO₂,二酸化硫黄 (SO₂),64.06,0,0,0,1,1
アンモニア,NH₃,アンモニア (NH₃),17.03,1,0,0,1,1
R-14,CF₄,R-14 (CF₄),88.00,0,0,0,0,0
R-22,CHClF₂,R-22 (CHClF₂),86.47,0,0,0,0,0
R-23,CHF₃,R-23 (CHF₃),70.01,0,0,0,0,0
R-134a,CH₂FCF₃,R-134a (CH₂FCF₃),102.03,0,0,0,0,0
R-116,C₂F₆,R-116 (C₂F₆),138.01,0,0,0,0,0
R-125,C₂HF₅,R-125 (C₂HF₅),120.02,0,0,0,0,0
R-218,C₃F₈,R-218 (C₃F₈),188.02,0,0,0,0,0
R-C318,C₄F₈,R-C318 (C₄F₈),200.03,0,0,0,0,0
塩化メチル,CH₃Cl,塩化メチル (CH₃Cl),50.49,1,0,0,1,0
メタン,CH₄,メタン (CH₄),16.04,1,0,0,0,0
アセチレン,C₂H₂,アセチレン (C₂H₂),26.04,1,0,0,0,0
エチレン,C₂H₄,エチレン (C₂H₄),28.05,1,0,0,0,0
エタン,C₂H₆,エタン (C₂H₆),30.07,1,0,0,0,0
プロピレン,C₃H₆,プロピレン (C₃H₆),42.08,1,0,0,0,0
プロパン,C₃H₈,プロパン (C₃H₈),44.09,1,0,0,0,0
ブタン,C₄H₁₀,ブタン (C₄H₁₀),58.12,1,0,0,0,0
エチレンオキシド,C₂H₄O,エチレンオキシド (C₂H₄O),44.05,1,0,0,1,0
アルシン,AsH₃,アルシン (AsH₃),77.95,1,0,0,1,0
ホスフィン,PH₃,ホスフィン (PH₃),34.00,0,1,0,1,0
ジボラン,B₂H₆,ジボラン (B₂H₆),27.67,1,0,0,1,0
モノシラン,SiH₄,モノシラン (SiH₄),32.12,0,1,0,1,0
四塩化ケイ素,SiCl₄,四塩化ケイ素 (SiCl₄),169.90,0,0,0,0,1
ジクロロシラン,SiH₂Cl₂,ジクロロシラン (SiH₂Cl₂),101.01,1,0,0,1,1
モノゲルマン,GeH₄,モノゲルマン (GeH₄),76.64,1,0,0,1,0
セレン化水素,H₂Se,セレン化水素 (H₂Se),80.98,1,0,0,1,0
三フッ化窒素,NF₃,三フッ化窒素 (NF₃),71.00,0,0,1,1,0
三塩化ホウ素,BCl₃,三塩化ホウ素 (BCl₃),117.17,0,0,0,1,1
三フッ化ホウ素,BF₃,三フッ化ホウ素 (BF₃),67.82,0,0,0,1,1
フッ素,F₂,フッ素 (F₂),38.00,0,0,1,1,1
臭化水素,HBr,臭化水素 (HBr),80.91,0,0,0,1,1
六フッ化硫黄,SF₆,六フッ化硫黄 (SF₆),146.06,0,0,0,0,0
ジシラン,Si₂H₆,ジシラン (Si₂H₆),62.22,0,1,0,1,0
四フッ化ケイ素,SiF₄,四フッ化ケイ素 (SiF₄),104.08,0,0,0,1,1
六フッ化タングステン,WF₆,六フッ化タングステン (WF₆),297.84,0,0,0,1,1
オクタフルオロシクロペンテン,C₅F₈,オクタフルオロシクロペンテン (C₅F₈),212.04,0,0,0,0,0
三フッ化塩素,CiF₃,三フッ化塩素 (CiF₃),92.45,0,0,1,0,1
テトラエトキシシラン,Si(OC₂H₅)₄,テトラエトキシシラン (Si(OC₂H₅)₄),208.33,1,0,0,0,0
